reads.in	reads.out	percentage_retained
ED8_28A_01_S383_R1_001.fastq.gz	48302	27204	56.3206492484783
ED8_32_02_S274_R1_001.fastq.gz	49879	34388	68.942841676858
ED9_19A_07_S356_R1_001.fastq.gz	37771	27026	71.552249079982
HR1_14_02_S351_R1_001.fastq.gz	29154	17556	60.2181518831035
HR1_14A_03_S183_R1_001.fastq.gz	45259	27055	59.7781656687068
HR1_23_03_S86_R1_001.fastq.gz	39843	22218	55.7638732023191
HR1_29_02_S308_R1_001.fastq.gz	50581	22236	43.9611711907633
HR1_34_01_S331_R1_001.fastq.gz	42237	24879	58.9033312025002
HR15_32_01_S254_R1_001.fastq.gz	155	17	10.9677419354839
HR15_36_01_S275_R1_001.fastq.gz	68152	41052	60.2359431858199
HR16_34_01_S285_R1_001.fastq.gz	44894	27034	60.2174009889963
HR17_07A_01_S115_R1_001.fastq.gz	45051	22172	49.2153337328805
HR18_01_03_S174_R1_001.fastq.gz	10081	8002	79.3770459279833
HR18_23_06_S110_R1_001.fastq.gz	55606	34979	62.9050821853757
HR18_24_04_S371_R1_001.fastq.gz	43726	27228	62.269587888213
HR18_32_07_S190_R1_001.fastq.gz	312	50	16.025641025641
HR18_32_10_S159_R1_001.fastq.gz	396	19	4.7979797979798
HR18_32_13_S132_R1_001.fastq.gz	44886	33794	75.2885086663993
HR18_32_15_S108_R1_001.fastq.gz	91	12	13.1868131868132
HR18_32_16_S100_R1_001.fastq.gz	42784	29428	68.782722513089
HR18_32_17_S180_R1_001.fastq.gz	166	18	10.8433734939759
HR18_32_18_S184_R1_001.fastq.gz	45194	30067	66.5287427534629
HR19_04_08_S185_R1_001.fastq.gz	75446	49051	65.0147125096095
HR19_04_10_S144_R1_001.fastq.gz	46904	28540	60.8476888964694
HR19_07_11_S43_R1_001.fastq.gz	46065	27531	59.7655486812113
HR19_23_02_S340_R1_001.fastq.gz	7913	5066	64.021230885884
HR19_25_03_S370_R1_001.fastq.gz	41872	27604	65.9247229652274
HR19_27_06_S4_R1_001.fastq.gz	48285	32242	66.774360567464
HR19_27_10_S322_R1_001.fastq.gz	42148	27882	66.1526051058176
HR19_31_04_S2_R1_001.fastq.gz	48860	31898	65.2844862873516
HR19_32_05_S344_R1_001.fastq.gz	39898	28756	72.0737881598075
HR19_32_08_S323_R1_001.fastq.gz	45702	32426	70.950943065949
HR19_32_09_S327_R1_001.fastq.gz	50877	36507	71.755410106728
HR19_32_12_S354_R1_001.fastq.gz	71370	66675	93.4216057166877
HR19_32_14_S353_R1_001.fastq.gz	9245	7064	76.4088696592753
