site,round,period,sample_id,year,barcode_id,active_flower,final_id,notes,gut_plate,subsite,lat,long,sample_point,julian_date
ED,10,5,10_ED11,2022,ED10_11_03,MEAL,B. impatiens,,bcparasite02_G7,eastdelta1,49.0998336,-122.9364988,ED11,233
SD,8,4,8_SD24,2022,SD8_24_04,LASY,B. impatiens,,bcparasite02_H7,southdelta1,49.0659931,-123.0585976,SD24,216
ED,7,4,7_ED06,2022,ED7_06_04,CHAN,B. impatiens,,bcparasite02_A8,eastdelta3,49.0937503,-122.9571174,ED06,210
W,9,5,9_W11,2022,W9_11_05,RUAR,B. impatiens,,bcparasite02_C8,westham3,49.085613,-123.1649155,W11,223
ED,8,4,8_ED11,2022,ED8_11_02,TRME,B. impatiens,,bcparasite02_G9,eastdelta1,49.0998336,-122.9364988,ED11,220
ED,8,4,8_ED12,2022,ED8_12_01,SPDO,B. impatiens,,bcparasite03_E1,eastdelta4,49.0941941,-122.9295817,ED12,220
PM,4,2,4_PM54A,2022,PM4_54A_05,HYRA,B. impatiens,,bcparasite02_B11,pittmeadows3,49.2423594,-122.6557711,PM54A,186
NR,3,2,3_NR01,2022,NR3_01_06,RONU,B. impatiens,,bcparasite02_A12,nicomekl2,49.089725,-122.7790482,NR01,171
ED,4,2,4_ED12,2022,ED4_12_02,RONU,B. impatiens,,bcparasite02_C12,eastdelta4,49.0941941,-122.9295817,ED12,178
PM,9,5,9_PM63,2022,PM9_63_02,IMGL,B. impatiens,,bcparasite07_B4,pittmeadows3,49.2459944,-122.6670193,PM63,226
SD,10,5,10_SD19,2022,SD10_19_01,TRRE,B. impatiens,,bcparasite03_B2,southdelta1,49.0661604,-123.0667177,SD19,230
SD,7,4,7_SD26,2022,SD7_26_05,TRHY,B. impatiens,,bcparasite03_F3,southdelta4,49.0584528,-123.0671996,SD26,209
ED,10,5,10_ED21A,2022,ED10_21A_01,RULA,B. impatiens,,bcparasite03_A7,eastdelta1,49.1046683,-122.9321746,ED21A,233
ED,3,2,3_ED12,2022,ED3_12_01,RONU,B. impatiens,,bcparasite03_B7,eastdelta4,49.0941941,-122.9295817,ED12,167
NR,3,2,3_NR01,2022,NR3_01_04,RONU,B. impatiens,,bcparasite03_F5,nicomekl2,49.089725,-122.7790482,NR01,171
HR,8,4,8_HR26,2022,HR8_26_01,SODU,B. impatiens,,bcparasite03_B6,harvieroad1,49.1592195,-122.7127155,HR26,221
SD,5,3,5_SD26,2022,SD5_26_02,VIVI,B. impatiens,,bcparasite03_H9,southdelta4,49.0584528,-123.0671996,SD26,187
NR,9,5,9_NR06A,2022,NR9_06A_01,flying,B. impatiens,,bcparasite03_D7,nicomekl1,49.0895774,-122.7639943,NR06A,225
HR,8,4,8_HR07A,2022,HR8_07A_06,IMGL,B. impatiens,,bcparasite03_A8,harvieroad3,49.1534589,-122.7224307,HR07A,221
PM,9,5,9_PM61,2022,PM9_61_03,HYRA,B. impatiens,,bcparasite03_B8,pittmeadows2,49.2545201,-122.6668191,PM61,226
SD,5,3,5_SD24,2022,SD5_24_14,LASY,B. impatiens,,bcparasite04_H1,southdelta1,49.0659931,-123.0585976,SD24,187
HR,9,5,9_HR20A,2022,HR9_20A_05,ERHU,B. impatiens,,bcparasite03_B11,harvieroad1,49.1607689,-122.7016926,HR20A,228
SD,6,3,6_SD24,2022,SD6_24_06,LASY,B. impatiens,,bcparasite03_D12,southdelta1,49.0659931,-123.0585976,SD24,199
HR,10,5,10_HR26,2022,HR10_26_01,SODU,B. impatiens,,bcparasite03_F12,harvieroad1,49.1592195,-122.7127155,HR26,231
SD,9,5,9_SD35,2022,SD9_35_05,TRRE,B. impatiens,,bcparasite04_F5,southdelta2,49.0660753,-123.0832934,SD35,224
HR,8,4,8_HR23,2022,HR8_23_03,SANE,B. impatiens,,bcparasite04_G5,harvieroad4,49.1518644,-122.70223,HR23,221
W,7,4,7_W25,2022,W7_25_01,TRRE,B. impatiens,,bcparasite04_B2,westham2,49.09466,-123.15417,W25,206
W,8,4,8_W01,2022,W8_01_03,TRRE,B. impatiens,,bcparasite04_C3,westham3,49.0878415,-123.1662845,W01,217
SD,9,5,9_SD35,2022,SD9_35_04,TRRE,B. impatiens,,bcparasite04_F3,southdelta2,49.0660753,-123.0832934,SD35,224
NR,9,5,9_NR12,2022,NR9_12_02,LIVU,B. impatiens,,bcparasite04_A4,nicomekl4,49.0789431,-122.7640991,NR12,225
HR,9,5,9_HR23,2022,HR9_23_01,SPJA,B. impatiens,,bcparasite04_B6,harvieroad4,49.1518644,-122.70223,HR23,228
HR,8,4,8_HR23,2022,HR8_23_02,ECPU,B. impatiens,,bcparasite04_E7,harvieroad4,49.1518644,-122.70223,HR23,221
