row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
HR22_21_02	37936	27817	27699	27701	25705	25599	24735	0.412371134020617	3.37513184108754	65.2019190215099
HR22_24_01	35744	26895	26883	26870	26622	26541	26456	0.304259634888439	0.320259221581708	74.0152193375112
HR22_27_01	35313	28136	28034	28073	25523	25380	24036	0.560278964071628	5.29550827423168	68.065584912072
HR22_33_01	40247	30604	30544	30585	30232	30217	30128	0.0496163006086192	0.294536188238396	74.8577533729222
HR25_27_02	35611	21601	21400	21447	17104	16877	13782	1.32717492984096	18.3385672809149	38.7015248097498
HR3_07_06	40121	30219	30051	29701	25040	24830	19528	0.83865814696486	21.3532017720499	48.6727648862192
HR3_07_11	36215	26262	26087	26166	24297	23996	23033	1.23883607029674	4.01316886147691	63.6007179345575
HR3_19A_10	34709	27587	27494	27442	25542	25391	23276	0.591183149322688	8.329723130243	67.0604166066438
HR3_19A_12	40511	33420	33325	33286	30325	30125	25193	0.659521846661164	16.3717842323651	62.1880476907507
HR3_21_01	42106	29814	29796	29764	23735	23663	21581	0.30334948388456	8.79854625364493	51.253978055384
HR3_23_03	38212	28121	28081	28002	25138	25094	24950	0.175033813350311	0.573842352753644	65.2936250392547
NR1_22_05	34917	25329	25247	24759	20341	20279	14241	0.304803107025222	29.7746437201045	40.7852908325457
NR1_43_01	38986	25755	25700	25721	24964	24946	23883	0.0721038295145036	4.26120420107432	61.2604524701175
NR18_01_03	41457	32644	32617	32616	32221	32112	31798	0.338288693709075	0.977827603388135	76.7011602383192
NR18_02_01	39842	30179	30154	29907	28656	28656	28610	0	0.160524846454493	71.8086441443703
NR18_14B_01	41306	31513	31482	31491	31157	31152	31137	0.0160477581281953	0.0481510015408304	75.3813005374522
NR18_16_04	28188	22089	22083	22072	21879	21879	21864	0	0.0685588920883049	77.5649212430822
NR18_19_01	45609	34861	34814	34843	34133	34111	33219	0.0644537544311987	2.61499223124505	72.834309017957
NR18_27_02	46631	34914	34883	34876	34488	34460	34130	0.0811876594757592	0.957632037144521	73.1916536209818
NR18_27_03	42684	33898	33892	33885	33603	33603	33588	0	0.0446388715293295	78.6899072251898
NR18_27_04	39292	29971	29962	29949	29375	29364	29305	0.0374468085106372	0.200926304318216	74.5826122365876
NR18_28_01	28702	15401	15386	15375	15036	15032	14074	0.0266028198989119	6.37307078233103	49.0349104592014
NR18_28_02	40241	29218	29186	29116	28332	28269	27618	0.222363405336722	2.30287594184442	68.6314952411719
NR18_28_03	37796	29091	29072	29064	28115	28067	26572	0.170727369731466	5.32654006484483	70.303735845063
NR18_28_04	40980	32369	32357	32357	31817	31806	31698	0.0345727127007507	0.339558573853992	77.3499267935578
NR18_29_02	39096	28880	28842	28436	27913	27877	27148	0.128972163508053	2.61505900921907	69.439328831594
NR18_29_03	36892	28016	27984	28005	27395	27359	25523	0.131410841394413	6.71077159252896	69.1830207090968
NR18_29_04	38532	17216	17175	17176	16962	16962	15275	0	9.94576111307629	39.642375168691
NR18_31_02	39743	27163	27145	27143	26562	26530	23936	0.120472855959648	9.77761025254429	60.2269582064766
NR18_32_01	42057	32167	32133	32136	31563	31542	31428	0.0665335994677321	0.361422864751759	74.7271560025679
NR18_43_02	31910	24790	24770	24565	17639	17611	17174	0.158739157548609	2.48140366816195	53.8201190849264
NR18_43_03	42922	31877	31765	31835	27694	27668	26839	0.0938831515851888	2.99624114500506	62.5297050463632
NR18_43_04	37380	28746	28710	28695	28100	28045	26719	0.195729537366546	4.72811552861472	71.4794007490637
NR18_43_05	30335	23196	23190	23191	16990	16984	15981	0.0353148911124208	5.90555817239755	52.6817207845723
NR18_44_01	39855	30058	29934	30050	29760	29760	29760	0	0	74.6706812194204
NR18_44_02	41622	31207	31171	31174	30786	30744	30260	0.136425648021827	1.57429091855322	72.7019364759022
NR19_06_04	35342	27639	27629	27624	27357	27357	27332	0	0.0913842892130106	77.3357478354366
NR19_08_01	36410	29022	29009	28982	28414	28375	28346	0.13725628211445	0.102202643171807	77.852238396045
NR19_08_02	42503	33555	33523	33523	31672	31659	31258	0.0410457186158197	1.26662244543417	73.5430440204221
NR19_08_03	40214	31249	31220	31222	30821	30793	30633	0.0908471496706795	0.519598610073714	76.1749639429055
NR19_08_04	40349	32424	32411	32403	31804	31799	31745	0.0157212929191246	0.16981666090129	78.6760514510893
NR19_08_06	34809	26519	26486	26487	25883	25730	23062	0.591121585596724	10.3692188107268	66.2529805510069
NR19_18_01	41369	30425	30367	30329	28638	28561	24776	0.268873524687478	13.2523371030426	59.8902559887839
NR19_29_02	36226	27136	27124	27130	26858	26858	26855	0	0.0111698562811853	74.1318390106553
NR2_12_01	35755	24410	24379	24383	17123	17103	14855	0.116801962272959	13.1438928842893	41.5466368340092
NR2_43_04	25741	17590	17540	17552	16576	16499	16168	0.464527027027032	2.00618219286017	62.8103026300455
NR20_01_03	37931	29123	29058	28959	28515	28447	28184	0.238470980185866	0.924526312089142	74.3033402757639
NR20_01_10	43273	33403	33376	33324	32831	32808	32774	0.070055740001834	0.103633260180445	75.737757955307
NR20_16_06	38538	29324	29298	28831	21441	21324	18817	0.545683503567929	11.7567060589008	48.8271316622554
NR20_17B_02	40148	28622	28606	28512	28118	28094	28049	0.0853545771391993	0.160176550153054	69.8640031882037
NR20_19_03	37782	20022	20009	20016	19523	19523	19523	0	0	51.672754221587
NR20_24_04	38981	30185	30155	30161	29931	29926	20343	0.0167050883699176	32.0223217269264	52.1869628793515
NR20_25_01	36614	28178	28155	28159	27911	27899	20590	0.0429938017269222	26.1980716154701	56.2353198230185
NR20_30A_03	48862	37422	37373	37334	36722	36684	36193	0.10348020260335	1.33845818340421	74.0718758953788
NR20_44_09	42732	33992	33972	33514	33250	33250	33214	0	0.108270676691717	77.7262941121408
NR20_44_12	40706	31667	31657	31662	31350	31350	31336	0	0.0446570972886775	76.9812804009237
NR20_44_16	42050	32693	32682	32656	32232	32202	32185	0.0930752047654408	0.0527917520650902	76.5398335315101
